선수명,FA_직전년도,FA년도,구단명,포지션,투,타,인정년수,구분,FA등급,플레이년도,Age,G,PA,AB,R,H,2B,3B,HP,HR,RBI,SB,CS,BB,SO,GDP,SF,수비_필딩 RAA,수비_포지션 RAA,전체수비 RAA,oWAR,dWAR,연봉,비고,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM RANK,TEAM G,TEAM PA,TEAM AB,TEAM R,TEAM H,TEAM 2B,TEAM 3B,TEAM HP,TEAM HR,TEAM RBI,TEAM SB,TEAM CS,TEAM BB,TEAM SO,TEAM GDP,TEAM SF,TEAM 수비_필딩 RAA,TEAM 수비_포지션 RAA,TEAM 전체수비 RAA,TEAM oWAR,TEAM dWAR,TEAM 연봉
노진혁,2023,2023,NC,3B,우투,좌타,7.0,신규,B,2022,33.0,115.0,451.0,396.0,50.0,111.0,24.0,0.0,2.0,15.0,75.0,2.0,0.0,45.0,105.0,11.0,5.0,-5.52,3.98,-1.54,3.43,-0.57,23000.0,대졸,이적,4.0,50.0,6.0,144.0,5585.0,4899.0,646.0,1260.0,230.0,15.0,88.0,105.0,613.0,100.0,39.0,501.0,981.0,112.0,47.0,-7.0,-6.71,-14.51,19.94,-0.72,823200.0
모창민,2019,2019,NC,3B,우투,우타,8.0,신규,A,2018,33.0,81.0,314.0,287.0,38.0,80.0,10.0,1.0,1.0,17.0,62.0,2.0,3.0,21.0,51.0,10.0,4.0,-1.49,-2.72,-4.21,0.73,-0.13,18500.0,대졸,잔류,3.0,20.0,10.0,144.0,5488.0,4895.0,660.0,1280.0,233.0,18.0,88.0,143.0,629.0,82.0,35.0,427.0,1081.0,115.0,43.0,2.07,19.6,-8.48,5.69,0.25,544500.0
문규현,2018,2018,롯데,SS,우투,우타,9.0,신규,A,2017,34.0,110.0,337.0,304.0,38.0,82.0,15.0,2.0,2.0,6.0,42.0,2.0,1.0,10.0,42.0,10.0,3.0,-0.47,5.26,4.79,0.21,-0.04,12000.0,고졸,잔류,3.0,10.0,3.0,144.0,5671.0,4994.0,743.0,1425.0,250.0,17.0,112.0,151.0,697.0,92.0,44.0,457.0,1018.0,146.0,32.0,16.21,8.53,6.5,17.96,1.67,858600.0
민병헌,2018,2018,두산,RF,우투,우타,9.0,신규,A,2017,30.0,123.0,520.0,447.0,73.0,136.0,21.0,0.0,19.0,14.0,71.0,3.0,4.0,47.0,74.0,14.0,6.0,-5.36,-4.47,-9.83,2.53,-0.49,55000.0,고졸,이적,4.0,80.0,2.0,144.0,5833.0,5102.0,849.0,1499.0,270.0,20.0,95.0,178.0,812.0,69.0,33.0,541.0,960.0,120.0,47.0,-0.18,-17.54,-7.54,32.2,-0.14,473500.0
박건우,2022,2022,두산,RF,우투,우타,9.0,신규,A,2021,31.0,126.0,525.0,458.0,82.0,149.0,31.0,2.0,11.0,6.0,63.0,13.0,0.0,50.0,72.0,16.0,6.0,-1.79,-3.42,-5.21,4.37,-0.18,48000.0,고졸,이적,6.0,100.0,2.0,144.0,5645.0,4900.0,738.0,1314.0,235.0,17.0,86.0,110.0,698.0,81.0,37.0,560.0,943.0,137.0,53.0,-0.82,-8.17,-11.12,24.7,-0.08,681500.0
박경수,2015,2015,LG,2B,우투,우타,9.0,신규,A,2014,30.0,87.0,201.0,162.0,33.0,37.0,6.0,1.0,5.0,2.0,19.0,7.0,1.0,25.0,33.0,6.0,3.0,-4.09,1.91,-2.18,0.37,-0.36,9000.0,고졸,이적,4.0,18.2,4.0,128.0,5070.0,4349.0,668.0,1214.0,213.0,22.0,63.0,90.0,622.0,105.0,64.0,524.0,817.0,112.0,57.0,10.35,-11.98,0.93,13.69,0.92,502800.0
박경수,2019,2019,KT,2B,우투,우타,4.0,재자격,A,2018,34.0,135.0,528.0,458.0,65.0,120.0,21.0,0.0,9.0,25.0,74.0,4.0,1.0,58.0,129.0,16.0,3.0,-1.76,4.45,2.69,2.63,-0.16,23000.0,고졸,잔류,3.0,26.0,9.0,144.0,5605.0,5026.0,757.0,1382.0,264.0,13.0,46.0,206.0,721.0,80.0,57.0,464.0,1109.0,103.0,26.0,-2.41,-7.35,-12.03,16.22,-0.35,607700.0
박기혁,2015,2015,롯데,SS,우투,우타,9.0,자격유지,A,2014,33.0,22.0,63.0,51.0,8.0,8.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,11.0,1.0,0.0,-1.36,1.24,-0.12,-0.24,-0.12,7000.0,고졸,이적,4.0,11.4,7.0,128.0,5194.0,4487.0,716.0,1288.0,252.0,26.0,70.0,121.0,685.0,63.0,41.0,534.0,964.0,95.0,41.0,1.14,15.71,-6.57,16.88,0.1,510600.0
박동원,2023,2023,KIA,C,우투,우타,9.0,신규,A,2022,32.0,123.0,447.0,385.0,52.0,93.0,21.0,0.0,9.0,18.0,57.0,1.0,0.0,45.0,95.0,9.0,1.0,4.43,0.65,5.08,3.05,0.05,31000.0,고졸,이적,4.0,65.0,5.0,144.0,5703.0,5000.0,720.0,1361.0,250.0,19.0,63.0,113.0,677.0,103.0,34.0,542.0,983.0,111.0,36.0,5.59,3.87,-1.59,28.69,0.19,567000.0
박민우,2023,2023,NC,2B,우투,좌타,9.0,신규,A,2022,29.0,104.0,451.0,390.0,61.0,104.0,22.0,1.0,10.0,4.0,38.0,21.0,4.0,42.0,55.0,7.0,3.0,1.32,4.3,5.62,2.6,0.14,41000.0,고졸,잔류,8.0,140.0,6.0,144.0,5585.0,4899.0,646.0,1260.0,230.0,15.0,88.0,105.0,613.0,100.0,39.0,501.0,981.0,112.0,47.0,-7.0,-6.71,-14.51,19.94,-0.72,823200.0
