FA년도,구단명,선수명,세부 포지션,투,구분,FA등급,플레이년도,나이,게임수,선발등판,구원등판,승리,패전,세이브,블론세이브,홀드,블론홀드,이닝수,자책점,피안타,2루타허용,3루타허용,피홈런,볼넷허용,사구허용,탈삼진,폭투,ERA,FIP,선발 이닝,구원 이닝,선발 WAR,구원 WAR,종합 WAR,연봉,비고1,잔류 여부,FA 계약 연수,FA 계약 총액
2020,NC,김진성,RP,우투,신규,C,2019,34.0,42.0,0.0,42.0,1.0,2.0,0.0,2.0,5.0,0.0,42.0,20.0,39.0,10.0,1.0,6.0,15.0,2.0,35.0,6.0,4.29,4.61,0.0,42.0,0.0,0.16,0.16,23000.0,35세 이상,잔류,0.0,0.0
2021,NC,김진성,RP,우투,신규,C,2020,35.0,48.0,0.0,48.0,3.0,0.0,0.0,1.0,6.0,0.0,47.1,14.0,41.0,8.0,2.0,4.0,10.0,0.0,56.0,2.0,2.66,2.7,0.0,47.1,0.0,1.38,1.38,16000.0,35세 이상,잔류,0.0,0.0
2022,NC,김진성,RP,우투,신규,C,2021,36.0,42.0,0.0,42.0,2.0,4.0,1.0,2.0,9.0,4.0,37.2,30.0,43.0,10.0,0.0,7.0,18.0,1.0,37.0,2.0,7.17,5.0,0.0,37.2,0.0,-0.97,-0.97,20000.0,35세 이상,잔류,0.0,0.0
2023,LG,김진성,RP,우투,신규,C,2022,37.0,67.0,0.0,67.0,6.0,3.0,0.0,2.0,12.0,0.0,58.0,20.0,44.0,6.0,1.0,6.0,22.0,1.0,54.0,2.0,3.1,3.76,0.0,58.0,0.0,1.49,1.49,10000.0,35세 이상,잔류,2.0,7.0
2024,LG,김진성,RP,우투,FA 1년차,C,2023,38.0,80.0,0.0,80.0,5.0,1.0,4.0,2.0,21.0,2.0,70.1,17.0,41.0,5.0,1.0,8.0,26.0,0.0,69.0,0.0,2.18,3.9,0.0,70.1,0.0,2.41,2.41,20000.0,35세 이상,잔류,0.0,0.0
2016,두산,노경은,CP,우투,신규,A,2015,31.0,47.0,0.0,47.0,1.0,4.0,4.0,3.0,0.0,0.0,58.1,29.0,57.0,12.0,1.0,6.0,37.0,5.0,41.0,8.0,4.47,5.74,0.0,58.1,0.0,0.27,0.27,20000.0,고졸,잔류,0.0,0.0
2017,롯데,노경은,SP,우투,신규,A,2016,32.0,22.0,20.0,2.0,3.0,12.0,0.0,1.0,0.0,0.0,94.2,72.0,128.0,25.0,5.0,13.0,48.0,5.0,52.0,10.0,6.84,6.24,92.1,2.1,1.1,-0.35,0.75,20000.0,고졸,잔류,0.0,0.0
2018,롯데,노경은,RP,우투,신규,A,2017,33.0,9.0,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,14.2,19.0,25.0,5.0,0.0,4.0,8.0,1.0,8.0,1.0,11.66,7.99,7.0,7.2,0.03,-0.6,-0.57,16000.0,고졸,잔류,0.0,0.0
2019,롯데,노경은,SP,우투,신규,A,2018,34.0,33.0,19.0,14.0,9.0,6.0,0.0,0.0,0.0,0.0,132.1,60.0,127.0,24.0,3.0,18.0,30.0,4.0,89.0,1.0,4.08,5.06,110.2,21.2,3.54,0.64,4.18,10000.0,고졸,미계약,0.0,0.0
2010,한화,마일영,SP,좌투,신규,A,2009,28.0,27.0,20.0,7.0,5.0,8.0,0.0,0.0,1.0,0.0,97.1,75.0,127.0,24.0,1.0,17.0,48.0,3.0,51.0,4.0,6.93,6.04,91.1,6.0,-0.03,-0.01,-0.04,11000.0,고졸,잔류,0.0,0.0
2011,한화,마일영,RP,좌투,신규,A,2010,29.0,47.0,0.0,47.0,1.0,3.0,2.0,0.0,10.0,0.0,43.2,34.0,51.0,7.0,1.0,9.0,20.0,1.0,26.0,3.0,7.01,6.05,0.0,43.2,0.0,-0.27,-0.27,11000.0,고졸,잔류,0.0,0.0
2012,한화,마일영,RP,좌투,신규,A,2011,30.0,51.0,8.0,43.0,2.0,5.0,0.0,0.0,8.0,0.0,69.2,45.0,75.0,14.0,0.0,4.0,49.0,3.0,32.0,6.0,5.81,5.43,33.0,36.2,0.71,-0.59,0.12,8300.0,고졸,잔류,0.0,0.0
